69Z2?(YC)5,1843.832,1905,Green,Hot,79
58M9?(HL)5,1595.966,2514,Teal,Hot,12
76Q8?(CL)4,1915.922,1621,Red,Cold,89
31K8?(JN)7,1580.512,1228,Lime,Cold,73
33K4?(VD)6,294.53,792,Teal,Cold,7
81U8?(ZK)4,2001.533,1440,Ivory,Cold,104
92J4?(LK)6,1609.214,2405,Red,Cold,22
62F6?(7X)4,2030.821,1276,Lime,Cold,91
30A5?(JM)8,821.666,1998,Silver,Cold,94
8UG0?(ZE)3,1715.228,2001,Purple,Hot,21
10C4?(CH)4,1535.029,2668,Pink,Hot,3
37P4?MO)9,1503.676,631,White,Hot,50
64K1?(bI)4,234.921,1695,Pink,Cold,85
05F8?(EV)3,1695.853,2044,Ivory,Hot,75
87K5?(ViC)1,1525.385,251,Teal,Hot,6
40E6?(NR)6,1828.298,1010,Plum,Hot,78
87F6?(IS)5,134.587,2196,Tan,Hot,31
31B4?(OM)9,1979.819,1803,Gold,Cold,38
77Y8?(JG)5,1036.517,146,Tan,Hot,87
63R2?(SJ)3,1568.39,2116,Tan,Hot,78
96U1?(IH)4,1469.572,1001,Silver,Cold,18
95J3?(RX)2,1076.701,2017,Violet,Cold,107
06T3?(VS)4,653.307,1067,Violet,Hot,42
48A8?(DB)8,940.571,494,Pink,Hot,70
76I1?(XG)6,1961.951,1095,Tan,Hot,77
58J7?(BN)5,1678.982,1942,Tan,Cold,53
29R4?(QV)8,821.222,162,Pink,Hot,2
55J!?(PI)7,1975.625,1444,Tan,Cold,107
44T0?(JK)3,1579.453,2812,Silver,Cold,97
25R4?(PY)8,1948.164,917,Orange,Hot,59
55H0?(ND03,100.559,2790,Cyan,Hot,75
39K3?(ZM)3,1753.516,2644,Violet,Hot,90
62W3?(EN)9,914.58,170,Blue,Hot,18
51N8h(WN)9,1521.474,2352,Blue,Cold,99
19S3?(FK)9,1954.804,2442,Violet,Hot,8
59M0?(CYe0,1564.714,26,Violet,Cold,81
68O0?(XR)6,937.675,695,Brown,Cold,11
53N7?(JB)5,2010.301,970,Blue,Hot,107
11I7?(PM)1,1494.079,2139,Yellow,Hot,29
64V5?(RO)0,1880.125,2833,Tan,Cold,70
21Q5?(ZY)1,287.606,1056,Ivory,Hot,86
69H6?(EQ)4,386.892,1721,Teal,Hot,32
98N1?(DC)5,1806.655,1485,Blue,Hot,84
85D5?(AE)5,1072.928,1828,Tan,Hot,24
8184?(CL)3,2027.897,2283,Silver,Hot,74
16P6?(MC)3,1316.587,2245,Lime,Hot,96
84T0?(UW)5,1671.894,2267,Blue,Cold,95
17V9?(UN)8,1729.826,336,Orange,Cold,72
95B5?(EJ)0,691.961,738,Green,Cold,4
68E4?(EO)8,1575.765,1678,Tan,Hot,16
07Z2?(IB)0,1944.816,2815,Grey,Cold,109
61J3?(MO)2,1999.32,262,Ivory,Cold,58
86O5?(VY)2,682.451,2516,Pink,Hot,30
89F7?(VE)3,909.696,2854,Lime,Hot,82
86K5?(EJ)2,1326.253,2591,Blue,Hot,47
59F1?(QN)8,253.987,1332,Violet,Cold,94
01R81(PA)6,1924.277,1848,Violet,Cold,33
75Q1?(FI)3,2096.668,1076,Violet,Cold,72
31J3?(ME)0,2038.03,1351,Black,Hot,106
97Y1?(BY)4,236.674,659,Ivory,Hot,53
00A7?(VVg9,1506.899,527,Ivory,Cold,35
81T6?(VE)8,1888.693,861,Ivory,Hot,76
56T7?(KR)7,1001.45,2565,Blue,Hot,69
10A6?(MF)1,246.779,1686,Black,Cold,34
33K9?(NO)9,793.989,1448,Violet,Hot,69
26J9?(QE)0,1858.309,2912,Black,Cold,88
